Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
SATP.SG,SATP,Satsurblia,petrous,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,JonesNatureCommunications2015,n/a (previously reported),13255,"11430-11180 calBCE (11415±50 BP, OxA-34632)",M / N,CHG,Satsurblia.SG,Yes,Satsurblia,Georgia,West Asia,42.38,42.59,M,..,J1,manual,1.191,816136,..,..,..,minus,..,..,PASS
I1069,I1069,Nat5,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),12750,11840-9760 BCE,M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,M,H5b1,E1b1,manual,0.023222,27137,..,..,"S1069.E1.L1,S1069.E1.L2,S1069.E1.L3","half,half,half","0.096,0.084,0.107","..,..,..",PASS
I1690_published,I1690,NAT6,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),12750,11840-9760 BCE,M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,M,H,CT,manual,0.02557,29883,..,..,"S1690.E1.L1,S1690.E1.L2,S1690.E1.L3","half,half,half","..,0.107,0.143","..,..,..",PASS
I1685_published,I1685,NAT4,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),12750,11840-9760 BCE,M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,M,J2a2,CT,manual,0.035306,40968,..,..,"S1685.E1.L1,S1685.E1.L2,S1685.E1.L3","half,half,half","0.176,0.083,0.118","0.886,..,0.653",QUESTIONABLE_CRITICAL (mtcontam=0.653-0.886)
I0861,I0861,Nat10,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),12750,11840-9760 BCE,M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,M,J2a2,E1b1b1b2,manual,0.107,115964,..,..,"S0861.E1.L3,S0861.E1.L2,S0861.E1.L1,S0861.E2.L1,S0861.E2.L2,S0861.E4.L2,S0861.E4.L1","half,half,half,half,half,half,half","0.113,0.133,0.18,0.131,0.152,0.091,0.064","..,..,0.898,0.702,0.964,..,..",QUESTIONABLE_CRITICAL (mtcontam=0.702-0.964)
I1072,I1072,NAT9,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),12750,11840-9760 BCE,M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,M,N1b,E1b1b1b2,manual,0.553,447140,..,..,"S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1","half,half,half,half,half,half,half,half","..,0.232,0.212,0.212,0.192,0.217,0.155,0.178","0.851,0.489,0.649,0.628,0.705,0.973,0.973,0.871",QUESTIONABLE_CRITICAL (mtcontam=0.489-0.973)
I2312_all_d,I2312,Belt4S,bone (phalanx),separate nuclear and mtDNA target enrichment,no 14C date,This study,Janet Monge,11950,12000-8000 BCE,M / N,Belt_Cave_M,Belt_Cave_M,Yes,"Alborz Mountains, near Behshahr, Belt Cave",Iran,Iran / Turan,35.59,53.5,M,K2a,..,..,0.026067,30722,n/a (<200 SNPs),n/a (<200 SNPs),"S2312.E1.L1,S2312.E1.L7","minus,half","0.17,0.049","0.678,..","PASS (damage.restricted: sex.intermediate=0.242-0.273,mtcontam=0.678,)"
Sidelkino.SG,Sidelkino,Sidelkino441,..,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),11259,"9386-9231 calBCE (9836±48 BP, UBA-31465)",M / N,Sidelkino_HG.SG,Sidelkino_HG.SG,Yes,Sidelkino,Russia,Forest / Steppe,54.53,51.11,F,U5a2,n/a (female),n/a (female),2.9,967604,n/a (female),n/a (female),..,minus,..,..,PASS
I5235,I5235,PADN_9,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10835,"9221-8548 calBCE (9480±110 BP, AA-57771, corrected for Freshwater Reservoir Effect) ",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,M,U5b2c,R1b1a(xR1b1a1a,manual,2.977,838984,..,..,S5235.E1.L1,half,0.132,0.986,PASS (Xcontam=0.006)
I5240,I5240,PADN_22,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10805,"9140-8570 calBCE (9469±70 BP, PSUAMS-2377 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,M,U5a1c,R1b1a(xR1b1a1a,manual,2.675,826331,..,..,S5240.E1.L1,half,0.129,0.986,PASS (Xcontam=0.009)
I1293,I1293,"HotuJ, Hotu cave, Mesolithic crania, juvenile",petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10800,9100-8600 BCE,M / N,Iran_HotuIIIb,Iran_HotuIIIb,No,"Alborz Mountains, near Behshahr, Hotu Cave",Iran,Iran / Turan,35.591,53.501,M,..,"J(xJ2a1b3,J2b2a1a1)",manual,0.014066,16137,..,..,S1293.E1.L1,half,..,n/a (mtDNA coverage <2x),PASS
I1293_all,I1293,"HotuJ, Hotu cave, Mesolithic crania, juvenile",petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10800,9100-8600 BCE,M / N,Iran_HotuIIIb_all,Iran_HotuIIIb_all,Yes,"Alborz Mountains, near Behshahr, Hotu Cave",Iran,Iran / Turan,35.591,53.501,M,HV2,"J(xJ2a1b3,J2b2a1a1)",manual,0.139,147906,..,..,"S1293.E1.L1,S1293.E1.L2,S1293.E1.L3,S1293.E1.L4","half,minus,minus,minus","..,0.136,0.132,..","..,0.623,..,0.643",QUESTIONABLE_CRITICAL (mtcontam=0.623-0.643)
I5244,I5244,PADN_18b,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10785,"9115-8555 calBCE (9424±55 BP, PSUAMS-2376 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,K1f,n/a (female),n/a (female),2.931,809448,n/a (female),n/a (female),S5244.E1.L1,half,0.15,0.989,PASS
I5242,I5242,PADN_26,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10530,"8805-8355 calBCE (9363±64 BP, PSUAMS-2408 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,U5a1,n/a (female),n/a (female),2.814,836819,n/a (female),n/a (female),S5242.E1.L1,half,0.137,0.992,PASS
I5239,I5239,PADN_17,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10333,"8535-8230 calBCE (9105±62 BP, PSUAMS-2375 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,U5a2d,n/a (female),n/a (female),2.708,809534,n/a (female),n/a (female),S5239.E1.L1,half,0.158,0.987,PASS
I1954,I1954,GD41,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,This study,"Christopher Meiklejohn, Deborah Merrett",10093,"8294-7992 calBCE (9000±40 BP, Beta-436170)",M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,R2,R2a,automatic,5.003401,938523,0.005064,5.391909516,"S1954.E1.L1,S1954.E1.L2,S1954.E1.L3","half,half,half","0.127,0.098,0.105","0.969,0.969,0.965",PASS (Xcontam=0.005)
I1949,I1949,GD37,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,This study (supplement of Lazaridis Nature 2016),"Christopher Meiklejohn, Deborah Merrett",10052,"8241-7962 calBCE (8915±40 BP, PSUAMS-2261)",M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,..,..,manual,0.141247,149362,n/a (<200 SNPs),n/a (<200 SNPs),"S1949.E1.L1,S1949.E1.L2,S1949.E1.L3","half,half,half","0.073,0.102,0.1","..,0.93,0.952",QUESTIONABLE (mtcontam=0.930-0.952)
I1727,I1727,AG_83_3082,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10050,8300-7900 BCE,M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,T1a2,"CT(xE,G,J,LT,R,Q1a,Q1b)",manual,0.041,46937,..,..,S1727.E1.L1,half,..,0.855,QUESTIONABLE (mtcontam=0.855)
I1700_published,I1700,AG88_1,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10050,8300-7900 BCE,M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,T1a,CT,manual,0.044994,51399,..,..,"S1700.E1.L1,S1700.E1.L2,S1700.E1.L3","half,half,half","0.096,0.1,0.126","0.737,..,0.726",QUESTIONABLE_CRITICAL (mtcontam=0.726-0.737)
I1414_published,I1414,AG84/1,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10050,8300-7900 BCE,M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,K1a18,E1b1b1b2,manual,0.065226,73968,..,..,"S1414.E1.L1,S1414.E1.L2,S1414.E1.L3","half,half,half","0.124,0.102,0.127","0.944,0.607,0.973",QUESTIONABLE_CRITICAL (mtcontam=0.607-0.973)
I1709,I1709,AG84_8,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),10050,8300-7900 BCE,M / N,PPN_LowCov,PPNB_LowCov,No,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,U8b1a,..,manual,0.012,14572,..,..,S1709.E1.L1,half,..,n/a (mtDNA coverage <2x),PASS
I5236,I5236,PADN_12,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),10008,"8290-7825 calBCE (8943±77 BP, BM-1146)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,M,U5a2d,I2a1,manual,2.922,840166,..,..,S5236.E1.L1,half,0.124,0.984,PASS
I1946,I1946,GD20,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Christopher Meiklejohn, Deborah Merrett",10000,"8250-7850 BCE [father of I1947 at 8210-7845 calBCE (8860±30 BP, Beta-432800), father of I1952 at 8219-7761 calBCE (8850±50 BP, Poz-81114)]",M / N,Ganj_Dareh_N_father.of.I1947_father.of.I1952,Ganj_Dareh_N_father.of.I1947_father.of.I1952,No,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,..,R2a,automatic,0.154656,164699,n/a (<200 SNPs),n/a (<200 SNPs),"S1946.E1.L2,S1946.E1.L3","half,half","0.113,0.115","0.983,0.97",PASS
I5238,I5238,PADN_16a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),9993,"8265-7820 calBCE (8907±66 BP, PSUAMS-2407 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,K1c,n/a (female),n/a (female),2.696,823422,n/a (female),n/a (female),S5238.E1.L1,half,0.125,0.992,PASS
I1947,I1947,GD22,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,This study,"Christopher Meiklejohn, Deborah Merrett",9973,"8210-7836 calBCE (8860±30 BP, Beta-432800)",M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,R2,R2a,automatic,3.312513,934570,0.005186,4.61433469,"S1947.E1.L1,S1947.E1.L2,S1947.E1.L3","half,half,half","0.119,0.105,0.118","0.993,0.997,0.995",PASS (Xcontam=0.005)
I1952,I1952,GD40,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,This study,"Christopher Meiklejohn, Deborah Merrett",9940,"8219-7761 calBCE (8850±50 BP, Poz-81114)",M / N,Ganj_Dareh_N_son.of.I1946_brother.of.I1947,Ganj_Dareh_N_son.of.I1946_brother.of.I1947,No,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,R,R2a,automatic,0.205223,208662,n/a (<200 SNPs),n/a (<200 SNPs),"S1952.E1.L1,S1952.E1.L2","half,half","0.076,0.085","0.697,0.817",QUESTIONABLE_CRITICAL (mtcontam=0.697-0.817)
AH2.SG,AH2,19001-SK#1,petrous,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,BroushakiScience2016,n/a (previously reported),9931,"8205-7756 calBCE (8833±41 BP, MAMS-25472)",M / N,Zagros_N.SG,Tepe_Abdul_Hosein_N.SG,Yes,"Tepe Abdul Hosein, Central Zagros",Iran,Iran / Turan,34.188318,48.368883,M,R2,J2b,manual,0.716,593295,..,..,..,minus,..,..,PASS
AH4.SG,AH4,10035,petrous,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,BroushakiScience2016,n/a (previously reported),9930,"8204-7755 calBCE (8832±41 BP, MAMS-25473)",M / N,Zagros_N.SG,Tepe_Abdul_Hosein_N.SG,Yes,"Tepe Abdul Hosein, Central Zagros",Iran,Iran / Turan,34.188318,48.368883,F,T2c,n/a (female),n/a (female),0.966,697107,n/a (female),n/a (female),..,minus,..,..,PASS
I7527,I7527,GANJ_25_M,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Christopher Meiklejohn, Deborah Merrett",9900,8200-7700 BCE,M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,F,U7a,n/a (female),n/a (female),0.089027,99468,n/a (female),n/a (female),S7527.E1.L1,half,0.084,0.983,PASS
AH1.SG,AH1,13030,petrous,Shotgun data with a random sequence representing each nucleotide,no 14C date,BroushakiScience2016,n/a (previously reported),9900,"8200-7700 BCE [layer date based on 8205-7756 calBCE (8833±41 BP, MAMS-25472) and 8204-7755 calBCE (8832±41 BP, MAMS-25473)]",M / N,Zagros_N.SG,Tepe_Abdul_Hosein_N.SG,Yes,"Tepe Abdul Hosein, Central Zagros",Iran,Iran / Turan,34.188318,48.368883,F,R2,n/a (female),n/a (female),1.295,806625,n/a (female),n/a (female),..,minus,..,..,PASS
I1951,I1951,GD39,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,This study (supplement of Lazaridis Nature 2016),"Christopher Meiklejohn, Deborah Merrett",9892,"8202-7681 calBCE (8800±50 BP, Poz-81109)",M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,F,HV*,n/a (female),n/a (female),0.033877,38566,n/a (female),n/a (female),"S1951.E1.L1,S1951.E1.L3","half,half","0.033,0.078","0.426,0.98",QUESTIONABLE_CRITICAL (mtcontam=0.426-0.980)
I1415_published,I1415,AG84/2,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9875,"8197-7653 calBCE (8790±50 BP, Poz-81101, date suspect because C:N ratio of 4.15)",M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,T1a,E1b1b1,manual,0.040037,46572,..,..,"S1415.E1.L1,S1415.E1.L2,S1415.E1.L3","half,half,half","0.115,0.107,0.131","..,0.601,0.951",QUESTIONABLE_CRITICAL (mtcontam=0.601-0.951)
I1290,I1290,GD13A,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9846,"8179-7613 calBCE (8780±50 BP, Poz-81100)",M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,F,X2,n/a (female),n/a (female),2.098,838740,n/a (female),n/a (female),"S1628.E1.L1,S1628.E1.L3,S1628.E1.L2,S1290.E1.L1,S1290.E1.L2,S1290.E1.L3","half,half,half,half,half,half","0.133,0.148,0.144,0.081,0.161,0.185","0.969,0.969,0.97,0.983,0.995,0.984",PASS
I1944,I1944,GD14B,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of Lazaridis Nature 2016),"Christopher Meiklejohn, Deborah Merrett",9800,8000-7700 BCE,M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,F,R2,n/a (female),n/a (female),0.053958,61169,n/a (female),n/a (female),"S1944.E1.L1,S1944.E1.L2,S1944.E1.L3","half,half,half","0.038,0.067,0.064","0.922,0.894,0.975",QUESTIONABLE (mtcontam=0.894-0.975)
I1945,I1945,GD16,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of Lazaridis Nature 2016),"Christopher Meiklejohn, Deborah Merrett",9800,8000-7700 BCE,M / N,Ganj_Dareh_N,Ganj_Dareh_N,Yes,Ganj Dareh,Iran,Iran / Turan,34.45,48.116,M,J1c10,..,manual,0.242441,247405,n/a (<200 SNPs),n/a (<200 SNPs),"S1945.E1.L2,S1945.E1.L3","half,half","0.084,0.08","0.915,0.894",QUESTIONABLE (mtcontam=0.894-1.000)
I5234,I5234,PADN_6,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),9800,9500-6200 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,U4a,n/a (female),n/a (female),1.362,708929,n/a (female),n/a (female),S5234.E1.L1,half,0.147,0.991,PASS
I5237,I5237,PADN_14,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),9800,9500-6200 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,M,U5a2a,R1b1a(xR1b1a1a,manual,3.088,842513,..,..,S5237.E1.L1,half,0.151,0.99,PASS (Xcontam=0.011)
I5407,I5407,LEPI_126,tooth (incisor),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),9800,8300-7400 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Lepenski Vir,Serbia,Europe,44.552924,22.027563,F,H13,n/a (female),n/a (female),2.163,850240,n/a (female),n/a (female),S5407.E1.L1,half,0.055,1,PASS
KK1.SG,KK1,Kotias,tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,JonesNatureCommunications2015,n/a (previously reported),9720,"7940-7600 calBCE [7938-7580 calBCE (8665±65 BP, RTT-5246), 7946-7612 calBCE (8745±40, OxA-28256)]",M / N,CHG,Kotias.SG,Yes,Kotias Klde,Georgia,West Asia,42.28,43.28,M,H13c,J2a,manual,12.482,1180629,..,..,..,minus,..,..,PASS
I4660,I4660,VLSC_51B,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),9713,"7940-7585 calBCE (8676±58 BP, PSUAMS-2296 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U8b1b,n/a (female),n/a (female),0.068425,77342,n/a (female),n/a (female),"S4660.E1.L1,S4660.E1.L2","half,half","0.078,0.102","0.964,0.967",PASS
I1701,I1701,AG83_3,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9610,"7750-7569 calBCE (8620±50 BP, Poz-81094)",M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,F,K1a18,n/a (female),n/a (female),0.018066,20956,n/a (female),n/a (female),"S1701.E1.L1,S1701.E1.L3","half,half","..,0.097","0.903,0.981",QUESTIONABLE (mtcontam=0.903-0.981)
I1707,I1707,AG83_5,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9582,"7722-7541 calBCE (8590±50 BP, Poz-81097)",M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,R0a,"T(xT1a1,T1a2a)",manual,0.142,149583,..,..,S1707.E1.L1,half,0.158,0.907,QUESTIONABLE (mtcontam=0.907)
I1710,I1710,AG83_6,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9580,"7733-7526 calBCE (8580±60 BP, Poz-81098)",M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,M,T1a2,E1b1b1a,manual,0.117,127351,..,..,S1710.E1.L1,half,0.171,0.996,PASS
